epoch,step,test_acuracia,test_dataset_iou,test_f1_score,test_loss,train_acuracia,train_dataset_iou,train_f1_score,train_loss_epoch,train_loss_step,val_loss,valid_acuracia,valid_dataset_iou,valid_f1_score
0,0,,,,,,,,,1.7193994522094727,,,,
0,1,,,,,,,,,1.5274227857589722,,,,
0,2,,,,,,,,,1.495927095413208,,,,
0,3,,,,,,,,,1.4313035011291504,,,,
0,3,,,,,,,,,,5.625480651855469,0.6155832409858704,0.1306886374950409,0.23116645216941833
0,3,,,,,0.5987213850021362,0.1095348373055458,0.19744281470775604,1.5749319791793823,,,,,
1,4,,,,,,,,,1.2748517990112305,,,,
1,5,,,,,,,,,1.2114830017089844,,,,
1,6,,,,,,,,,1.1337295770645142,,,,
1,7,,,,,,,,,0.994683027267456,,,,
1,7,,,,,,,,,,3.9156723022460938,0.6173531413078308,0.13295595347881317,0.234706312417984
1,7,,,,,0.7817306518554688,0.3922354280948639,0.5634613633155823,1.1982078552246094,,,,,
2,8,,,,,,,,,0.983836829662323,,,,
2,9,,,,,,,,,0.9290590286254883,,,,
2,10,,,,,,,,,0.9235928058624268,,,,
2,11,,,,,,,,,0.7810463309288025,,,,
2,11,,,,,,,,,,1.3238707780838013,0.6885167360305786,0.23231126368045807,0.37703341245651245
2,11,,,,,0.8827313184738159,0.6200399994850159,0.7654625773429871,0.9389182329177856,,,,,
3,12,,,,,,,,,0.8719016909599304,,,,
3,13,,,,,,,,,0.7937239408493042,,,,
3,14,,,,,,,,,0.7603656053543091,,,,
3,15,,,,,,,,,0.6934636235237122,,,,
3,15,,,,,,,,,,1.1567834615707397,0.7970176935195923,0.42251086235046387,0.5940353274345398
3,15,,,,,0.8854734897613525,0.6272690892219543,0.7709469795227051,0.8040556907653809,,,,,
4,16,,,,,,,,,0.6955610513687134,,,,
4,17,,,,,,,,,0.7296140193939209,,,,
4,18,,,,,,,,,0.6397383809089661,,,,
4,19,,,,,,,,,0.8587186336517334,,,,
4,19,,,,,,,,,,1.1656322479248047,0.8117302656173706,0.45291879773139954,0.623460590839386
4,19,,,,,0.8893758654594421,0.6376685500144958,0.7787516713142395,0.6951210498809814,,,,,
5,20,,,,,,,,,0.6369429230690002,,,,
5,21,,,,,,,,,0.5962035059928894,,,,
5,22,,,,,,,,,0.6022526025772095,,,,
5,23,,,,,,,,,0.636263370513916,,,,
5,23,,,,,,,,,,1.3214876651763916,0.7639349699020386,0.3585756719112396,0.5278699994087219
5,23,,,,,0.8996444940567017,0.6656796932220459,0.7992889285087585,0.6127782464027405,,,,,
6,24,,,,,,,,,0.553272545337677,,,,
6,25,,,,,,,,,0.5494096279144287,,,,
6,26,,,,,,,,,0.5737082362174988,,,,
6,27,,,,,,,,,0.6765573024749756,,,,
6,27,,,,,,,,,,1.0853123664855957,0.8047841191291809,0.43840208649635315,0.6095682382583618
6,27,,,,,0.8999406695365906,0.6665018200874329,0.7998812794685364,0.5635072588920593,,,,,
7,28,,,,,,,,,0.47964516282081604,,,,
7,29,,,,,,,,,0.5332425832748413,,,,
7,30,,,,,,,,,0.5252016186714172,,,,
7,31,,,,,,,,,0.6998853087425232,,,,
7,31,,,,,,,,,,1.1114940643310547,0.7978207468986511,0.42413780093193054,0.5956414937973022
7,31,,,,,0.9003363847732544,0.6676015853881836,0.8006727695465088,0.5201839804649353,,,,,
8,32,,,,,,,,,0.5456341505050659,,,,
8,33,,,,,,,,,0.5817965865135193,,,,
8,34,,,,,,,,,0.7154392600059509,,,,
8,35,,,,,,,,,0.5467885732650757,,,,
8,35,,,,,,,,,,1.303320050239563,0.6592122912406921,0.18936088681221008,0.31842461228370667
8,35,,,,,0.8848851919174194,0.6257127523422241,0.7697703838348389,0.6115899085998535,,,,,
9,36,,,,,,,,,0.5055733323097229,,,,
9,37,,,,,,,,,0.5362203121185303,,,,
9,38,,,,,,,,,0.4438437819480896,,,,
9,39,,,,,,,,,0.6784677505493164,,,,
9,39,,,,,,,,,,1.0419327020645142,0.8136005401611328,0.45687758922576904,0.6272010803222656
9,39,,,,,0.9043307304382324,0.6787840127944946,0.8086615204811096,0.5025426745414734,,,,,
10,40,,,,,,,,,0.4601913094520569,,,,
10,41,,,,,,,,,0.49856436252593994,,,,
10,42,,,,,,,,,0.48090997338294983,,,,
10,43,,,,,,,,,0.8604511022567749,,,,
10,43,,,,,,,,,,1.1136771440505981,0.7997695207595825,0.42810118198394775,0.5995389819145203
10,43,,,,,0.9102225303649902,0.695554792881012,0.8204451203346252,0.49511104822158813,,,,,
11,44,,,,,,,,,0.4981008768081665,,,,
11,45,,,,,,,,,0.4363318979740143,,,,
11,46,,,,,,,,,0.5117467641830444,,,,
11,47,,,,,,,,,0.49757710099220276,,,,
11,47,,,,,,,,,,1.0923222303390503,0.8041117787361145,0.43701237440109253,0.608223557472229
11,47,,,,,0.9144493341445923,0.7077939510345459,0.828898549079895,0.4826804995536804,,,,,
12,48,,,,,,,,,0.5141134858131409,,,,
12,49,,,,,,,,,0.539272129535675,,,,
12,50,,,,,,,,,0.37859243154525757,,,,
12,51,,,,,,,,,0.38073381781578064,,,,
12,51,,,,,,,,,,1.110487937927246,0.7977244257926941,0.4239424765110016,0.5954488515853882
12,51,,,,,0.9153991937637329,0.710568904876709,0.830798327922821,0.4734622836112976,,,,,
13,52,,,,,,,,,0.48884278535842896,,,,
13,53,,,,,,,,,0.38261646032333374,,,,
13,54,,,,,,,,,0.4217613637447357,,,,
13,55,,,,,,,,,1.0115236043930054,,,,
13,55,,,,,,,,,,1.1093403100967407,0.7989823222160339,0.42649757862091064,0.5979646444320679
13,55,,,,,0.9173120856285095,0.7161845564842224,0.834624171257019,0.45429152250289917,,,,,
14,56,,,,,,,,,0.4885302186012268,,,,
14,57,,,,,,,,,0.46363455057144165,,,,
14,58,,,,,,,,,0.3663100600242615,,,,
14,59,,,,,,,,,0.4560384154319763,,,,
14,59,,,,,,,,,,1.1654198169708252,0.786655604839325,0.4018474519252777,0.5733112096786499
14,59,,,,,0.9208095073699951,0.7265475988388062,0.8416189551353455,0.44015347957611084,,,,,
15,60,,,,,,,,,0.3925645351409912,,,,
15,61,,,,,,,,,0.4062701463699341,,,,
15,62,,,,,,,,,0.5096571445465088,,,,
15,63,,,,,,,,,0.6471591591835022,,,,
15,63,,,,,,,,,,1.1114780902862549,0.7996605634689331,0.42787909507751465,0.599321186542511
15,63,,,,,0.9201741218566895,0.7246556282043457,0.8403481841087341,0.4446037709712982,,,,,
16,64,,,,,,,,,0.42564383149147034,,,,
16,65,,,,,,,,,0.4988120198249817,,,,
16,66,,,,,,,,,0.33332952857017517,,,,
16,67,,,,,,,,,0.7301087975502014,,,,
16,67,,,,,,,,,,1.0855449438095093,0.8065028190612793,0.4419669210910797,0.6130056381225586
16,67,,,,,0.9232524633407593,0.733860969543457,0.8465049862861633,0.43169569969177246,,,,,
17,68,,,,,,,,,0.36316385865211487,,,,
17,69,,,,,,,,,0.6750194430351257,,,,
17,70,,,,,,,,,0.32125550508499146,,,,
17,71,,,,,,,,,0.7697607278823853,,,,
17,71,,,,,,,,,,1.0923397541046143,0.8039506077766418,0.4366796314716339,0.6079012155532837
17,71,,,,,0.919155478477478,0.7216311693191528,0.8383110165596008,0.4658108949661255,,,,,
18,72,,,,,,,,,0.3880096673965454,,,,
18,73,,,,,,,,,0.40770450234413147,,,,
18,74,,,,,,,,,0.41566139459609985,,,,
18,75,,,,,,,,,0.3827635645866394,,,,
18,75,,,,,,,,,,1.116697907447815,0.7988250851631165,0.42617765069007874,0.5976501703262329
18,75,,,,,0.9247865080833435,0.7384851574897766,0.8495731353759766,0.4029507040977478,,,,,
19,76,,,,,,,,,0.4394714832305908,,,,
19,77,,,,,,,,,0.502159595489502,,,,
19,78,,,,,,,,,0.3691607713699341,,,,
19,79,,,,,,,,,0.8613267540931702,,,,
19,79,,,,,,,,,,1.1404660940170288,0.7971128225326538,0.42270347476005554,0.5942257046699524
19,79,,,,,0.9158638119697571,0.7119293808937073,0.8317275047302246,0.45390647649765015,,,,,
20,80,,,,,,,,,0.3487803041934967,,,,
20,81,,,,,,,,,0.40843603014945984,,,,
20,82,,,,,,,,,0.41663816571235657,,,,
20,83,,,,,,,,,0.43278124928474426,,,,
20,83,,,,,,,,,,1.124955654144287,0.7992998957633972,0.4271441102027893,0.5985997915267944
20,83,,,,,0.9254709482192993,0.7405560612678528,0.8509418964385986,0.39294469356536865,,,,,
21,84,,,,,,,,,0.36737218499183655,,,,
21,85,,,,,,,,,0.43316587805747986,,,,
21,86,,,,,,,,,0.4347754120826721,,,,
21,87,,,,,,,,,0.3686921000480652,,,,
21,87,,,,,,,,,,1.126806616783142,0.7989397048950195,0.42641082406044006,0.5978794097900391
21,87,,,,,0.9237709641456604,0.7354211211204529,0.8475419878959656,0.4100479781627655,,,,,
